time,rssi
1773332244.6017175,-55
1773332245.1085303,-55
1773332245.6154819,-55
1773332246.1230981,-56
1773332246.6299257,-55
1773332247.1380603,-55
1773332247.6466937,-55
1773332248.153048,-55
1773332248.6602905,-55
1773332249.1678464,-55
1773332249.6761744,-55
1773332250.1827703,-54
1773332250.6896753,-54
1773332251.1973886,-55
1773332251.706685,-55
1773332252.2134967,-55
1773332252.7213097,-55
1773332253.2288702,-55
1773332253.7357953,-55
1773332254.243555,-56
1773332254.751157,-56
1773332255.2581282,-55
1773332255.7655299,-55
1773332256.2724028,-55
1773332256.7800288,-55
1773332257.2860346,-55
1773332257.792247,-55
1773332258.3011672,-55
1773332258.8092048,-55
1773332259.3172836,-56
1773332259.8244603,-56
1773332260.3308878,-55
1773332260.837899,-55
1773332261.3471174,-55
1773332261.8544471,-55
1773332262.3632445,-55
1773332262.870546,-55
1773332263.377836,-55
1773332263.885857,-55
1773332264.392487,-55
1773332264.8990571,-55
1773332265.4049048,-55
1773332265.9098012,-55
1773332266.4170597,-55
1773332266.9239302,-55
1773332267.432468,-55
1773332267.9403458,-55
1773332268.449213,-55
1773332268.9563446,-55
1773332269.4636748,-55
1773332269.971298,-55
1773332270.479228,-55
1773332270.9858432,-55
1773332271.491973,-55
1773332271.9991648,-55
1773332272.507152,-55
1773332273.014401,-55
1773332273.521888,-55
1773332274.0287275,-55
1773332274.5361211,-55
1773332275.0450332,-55
1773332275.551578,-55
1773332276.0587437,-55
1773332276.5654724,-55
1773332277.0721276,-55
1773332277.5799608,-55
1773332278.0864272,-55
1773332278.593805,-55
1773332279.1031358,-55
1773332279.6102734,-55
1773332280.1166248,-56
1773332280.624734,-55
1773332281.1310167,-55
1773332281.6371727,-55
1773332282.1442063,-55
1773332282.6521146,-55
1773332283.1613357,-55
1773332283.6677454,-55
1773332284.175279,-55
1773332284.6824389,-55
1773332285.1904042,-55
1773332285.6979284,-55
1773332286.203966,-55
1773332286.712612,-55
1773332287.2193828,-55
1773332287.7263005,-54
1773332288.2327676,-54
1773332288.7399604,-54
1773332289.2467334,-54
1773332289.7540796,-54
1773332290.2618463,-54
1773332290.7686658,-56
1773332291.2751164,-56
1773332291.7835453,-56
1773332292.2909262,-56
1773332292.7993846,-56
1773332293.3077695,-56
1773332293.8146737,-56
1773332294.3175955,-49
1773332294.8247142,-49
1773332295.3322089,-49
1773332295.83841,-55
1773332296.345275,-55
1773332296.853074,-54
1773332297.3594494,-54
1773332297.8662918,-54
1773332298.3751013,-54
1773332298.884459,-54
1773332299.3916388,-54
1773332299.897685,-54
1773332300.404214,-51
1773332300.9107285,-51
1773332301.4166164,-43
1773332301.9258373,-43
1773332302.4322855,-43
1773332302.9403193,-43
1773332303.447836,-43
1773332303.9551506,-43
1773332304.4628782,-47
1773332304.9694054,-49
1773332305.4762669,-49
1773332305.9835587,-49
1773332306.4912653,-49
1773332306.998291,-50
1773332307.5037112,-43
1773332308.0100517,-43
1773332308.5174122,-42
1773332309.0248177,-42
1773332309.5319355,-42
1773332310.0393298,-44
1773332310.5454018,-47
1773332311.0524557,-50
1773332311.5605366,-49
1773332312.0667658,-49
1773332312.5737686,-49
1773332313.0817897,-49
1773332313.5885327,-49
1773332314.0963964,-51
1773332314.6054578,-51
1773332315.1138442,-51
1773332315.620996,-51
1773332316.1303341,-51
1773332316.6376748,-51
1773332317.1449785,-49
1773332317.6521585,-49
1773332318.1612515,-49
1773332318.6674802,-49
1773332319.1742501,-49
1773332319.680207,-46
1773332320.1875067,-46
1773332320.6938083,-46
1773332321.2005765,-46
1773332321.7074168,-45
1773332322.2142763,-45
1773332322.7213197,-45
1773332323.228367,-45
1773332323.734101,-45
1773332324.240812,-45
1773332324.7490845,-45
1773332325.2563226,-45
1773332325.7635994,-45
1773332326.267258,-45
1773332326.7743278,-45
1773332327.2814054,-47
1773332327.7878525,-47
1773332328.2940416,-47
1773332328.8002644,-48
1773332329.308128,-48
1773332329.8160942,-48
1773332330.3227656,-48
1773332330.8318582,-48
1773332331.3395119,-48
1773332331.8461766,-57
1773332332.3542383,-57
1773332332.8619657,-56
1773332333.3704367,-56
1773332333.8768718,-56
1773332334.38366,-56
1773332334.8904054,-56
1773332335.3989434,-56
1773332335.9029324,-56
1773332336.4101138,-56
1773332336.9183462,-56
1773332337.4242237,-54
1773332337.931604,-54
1773332338.438795,-54
1773332338.9480245,-54
1773332339.4549913,-54
1773332339.9622948,-54
1773332340.470547,-54
1773332340.9772363,-59
1773332341.4843583,-59
1773332341.9906542,-56
1773332342.4980252,-56
1773332343.0048444,-56
1773332343.512942,-56
1773332344.0207286,-56
1773332344.5277174,-56
1773332345.0338202,-50
1773332345.5404043,-50
1773332346.0469565,-50
1773332346.5544274,-49
1773332347.0618,-49
1773332347.5687027,-49
1773332348.0761096,-55
1773332348.5834403,-55
1773332349.0909557,-54
1773332349.5978353,-54
1773332350.10441,-54
1773332350.6107607,-54
1773332351.11675,-57
1773332351.622884,-57
1773332352.1302283,-57
1773332352.6386316,-56
1773332353.1469865,-56
1773332353.6555693,-56
